scale,policy,train_scale,model_label,n_instances,n_solved,solve_rate,median_cumulative_flips,mean_cumulative_flips,median_best_flips_solved,mean_best_flips_solved,par10,median_time_s,mean_time_s,total_time_s
n12,minbreak,n50,cross_kcoloring_n50,100,100,100.0,1694.0,2707.6,20.0,20.1,2707.6,0.0763,0.1177,11.77
n12,noveltyplus,n50,cross_kcoloring_n50,100,100,100.0,480.0,537.2,19.0,19.2,537.2,0.0278,0.0301,3.01
n12,interian(n50),n50,cross_kcoloring_n50,100,100,100.0,553.5,549.7,19.0,18.8,549.7,0.0697,0.0693,6.93
n12,ours(cross_kcoloring_n50),n50,cross_kcoloring_n50,100,100,100.0,661.5,860.8,16.0,15.8,860.8,0.0948,0.1223,12.23
n12,ours_online_kl(cross_kcoloring_n50),n50,cross_kcoloring_n50,100,100,100.0,710.5,1009.9,15.0,15.4,1009.9,0.5246,0.7736,77.36
n12,ours_online_success_kl(cross_kcoloring_n50),n50,cross_kcoloring_n50,100,100,100.0,706.5,801.7,16.0,16.1,801.7,0.2006,0.2285,22.85
